timestamp,hmd_pos_x,hmd_pos_y,hmd_pos_z,hmd_rot_w,hmd_rot_x,hmd_rot_y,hmd_rot_z,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_rot_w,left_controller_rot_x,left_controller_rot_y,left_controller_rot_z,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_rot_w,right_controller_rot_x,right_controller_rot_y,right_controller_rot_z
0,2.9,161.9,-17.27,0.65,-0.23,0.7,0.2,-16.9,141.36,-17.43,0.65,0.09,0.23,-0.72,-31.63,136.43,-10.8,0.4,0.32,0.83,-0.24
12,2.92,161.91,-17.28,0.65,-0.23,0.7,0.2,-17.39,141.31,-17.03,0.65,0.09,0.24,-0.71,-31.6,136.44,-10.85,0.4,0.32,0.83,-0.24
24,2.95,161.92,-17.3,0.65,-0.23,0.7,0.2,-17.85,141.23,-16.62,0.65,0.08,0.24,-0.71,-31.57,136.46,-10.91,0.4,0.32,0.83,-0.24
36,2.96,161.93,-17.31,0.65,-0.22,0.7,0.2,-18.19,141.13,-16.25,0.66,0.08,0.24,-0.71,-31.53,136.49,-10.98,0.4,0.32,0.83,-0.24
49,2.97,161.95,-17.33,0.65,-0.22,0.7,0.2,-18.47,141.04,-15.92,0.66,0.08,0.25,-0.71,-31.49,136.54,-11.05,0.4,0.32,0.82,-0.25
61,2.98,161.97,-17.35,0.65,-0.22,0.7,0.2,-18.67,140.99,-15.61,0.66,0.08,0.25,-0.7,-31.46,136.59,-11.13,0.4,0.31,0.82,-0.25
73,2.97,161.99,-17.36,0.65,-0.22,0.7,0.2,-18.76,140.97,-15.34,0.66,0.08,0.26,-0.7,-31.42,136.64,-11.18,0.4,0.31,0.82,-0.25
86,2.96,162.01,-17.39,0.65,-0.22,0.7,0.19,-18.81,140.98,-15.05,0.66,0.08,0.26,-0.7,-31.38,136.7,-11.27,0.4,0.31,0.83,-0.25
98,2.95,162.03,-17.41,0.65,-0.22,0.7,0.19,-18.77,140.99,-14.79,0.66,0.09,0.27,-0.69,-31.34,136.78,-11.35,0.4,0.31,0.82,-0.25
112,2.94,162.04,-17.43,0.65,-0.22,0.7,0.19,-18.65,141.0,-14.53,0.66,0.09,0.27,-0.69,-31.29,136.85,-11.45,0.4,0.3,0.82,-0.26
125,2.93,162.06,-17.45,0.65,-0.22,0.7,0.19,-18.48,140.98,-14.26,0.66,0.1,0.28,-0.69,-31.23,136.95,-11.56,0.4,0.3,0.82,-0.26
139,2.91,162.07,-17.48,0.65,-0.22,0.7,0.19,-18.31,140.92,-14.01,0.66,0.11,0.29,-0.68,-31.19,137.05,-11.69,0.41,0.3,0.82,-0.26
151,2.88,162.09,-17.51,0.65,-0.22,0.7,0.19,-18.14,140.83,-13.78,0.67,0.11,0.29,-0.68,-31.16,137.15,-11.8,0.41,0.3,0.82,-0.26
168,2.85,162.1,-17.54,0.65,-0.22,0.7,0.19,-17.93,140.65,-13.49,0.67,0.11,0.3,-0.67,-31.12,137.28,-11.97,0.41,0.3,0.82,-0.27
179,2.82,162.12,-17.58,0.65,-0.22,0.7,0.19,-17.81,140.47,-13.28,0.67,0.12,0.31,-0.67,-31.09,137.39,-12.09,0.41,0.3,0.82,-0.27
191,2.79,162.13,-17.61,0.65,-0.22,0.7,0.19,-17.69,140.25,-13.07,0.67,0.12,0.31,-0.67,-31.07,137.5,-12.22,0.41,0.3,0.82,-0.27
202,2.77,162.14,-17.64,0.65,-0.22,0.7,0.19,-17.59,140.0,-12.87,0.67,0.12,0.32,-0.66,-31.04,137.6,-12.35,0.41,0.3,0.82,-0.27
215,2.73,162.15,-17.68,0.65,-0.22,0.7,0.19,-17.47,139.65,-12.62,0.67,0.13,0.33,-0.65,-31.02,137.73,-12.5,0.41,0.3,0.81,-0.28
232,2.69,162.17,-17.73,0.65,-0.22,0.7,0.19,-17.36,139.09,-12.27,0.68,0.13,0.34,-0.64,-31.0,137.9,-12.7,0.42,0.29,0.81,-0.28
245,2.65,162.18,-17.77,0.66,-0.22,0.7,0.19,-17.32,138.56,-12.02,0.68,0.14,0.35,-0.62,-30.99,138.01,-12.86,0.42,0.29,0.81,-0.28
